alpha,MLP_dim,rho,label_err_mean,label_err_std,train_data_mean,train_reg_mean,train_total_mean,train_total_std,acc_test_mean,acc_test_std,acc_fine_tune_mean,acc_fine_tune_std,acc_train_mean,acc_train_std,rank_before_mean,rank_before_std,rank_after_mean,rank_after_std
10.0,5,1.0,7.454333333333334e-05,5.910458016948471e-06,0.00020065196275711062,1.2686229469254611e-05,0.00021333819091320038,1.2791574554208479e-05,0.25456666722893717,0.059104578911025815,0.2571091105639993,0.06287641689754904,0.2736384906548718,0.05096713739485811,83.65,12.70008288410583,85.3,10.677571180553633
10.0,10,1.0,4.724555555555556e-05,1.821667933811929e-05,0.0001178903728723526,3.897481976076961e-05,0.00015686519384384154,3.428955877034407e-05,0.5275444395840168,0.18216678965400684,0.5319366160551255,0.17945090793389437,0.5713843118159656,0.19633439241523706,95.5,1.9330913339165219,95.6,5.641948151779526
10.0,30,1.0,3.664444444444445e-05,1.0317032983888502e-05,7.810536205768586e-05,5.105604067444801e-05,0.0001291614031791687,1.806979761708466e-05,0.6335555613040924,0.10317033391643429,0.6716122973213966,0.11210762485162698,0.6993222902708432,0.15379222204799098,96.85,2.601113122046831,98.45,1.3168942730211068
10.0,50,1.0,2.7056666666666668e-05,3.0948066918692983e-06,6.466844707727433e-05,5.585746467113495e-05,0.0001205259120464325,5.229002105927381e-06,0.7294333308935166,0.030948066641247704,0.7180668394802334,0.026810480659434303,0.7762867621942,0.03240844327070225,96.6,2.4793887192315434,98.5,1.6059101370939324
