alpha,MLP_dim,rho,label_err_mean,label_err_std,train_data_mean,train_reg_mean,train_total_mean,train_total_std,acc_test_mean,acc_test_std,acc_fine_tune_mean,acc_fine_tune_std,acc_train_mean,acc_train_std,rank_before_mean,rank_before_std,rank_after_mean,rank_after_std
5.05,5,1.0,7.848268398268399e-05,7.956081382071891e-06,0.00020939300894737243,1.1184239629328658e-05,0.00022057724833488462,3.449528278738078e-05,0.21517315953969957,0.07956081375938828,0.22531154014365323,0.0865857737576152,0.25725622223428857,0.09898282199900184,85.9,16.260704975977806,86.4,15.55431908201909
5.05,10,1.0,5.712770562770563e-05,1.8617771848981957e-05,0.00013834719866514207,3.013011269271374e-05,0.00016847731292247772,3.8749388326133407e-05,0.42872294038534164,0.1861777134542386,0.4071043145532752,0.2136468269135877,0.4825626455403347,0.221307667462983,95.0,5.703184705887903,97.3,3.908156113888788
5.05,30,1.0,4.8818181818181813e-05,1.6756664628338252e-05,9.541548937559127e-05,4.267756685614586e-05,0.00013809305667877197,2.9887312622388467e-05,0.5118181794881821,0.16756664365217327,0.5374957122873487,0.1747553581270987,0.6252460901339849,0.18937517292884903,97.65,1.7554426642213128,98.9,1.0711528467275953
5.05,50,1.0,6.31082251082251e-05,1.617777295668055e-05,9.701592043042183e-05,4.0422400794923305e-05,0.0001374383208155632,3.608853377127814e-05,0.3689177505671978,0.16177772936186796,0.4538327906336551,0.16931760452748665,0.6167259467545236,0.2269295780839297,96.2,5.61576727662954,98.2,2.4623480450043704
