alpha,alpha_idx,lam,rho,MSE_mean,MSE_std,label_err_mean,label_err_std,label_err_mean_noise,label_err_std_noise,train_data_mean,train_reg_mean,train_total_mean
0.01,0,0.1,1.0,0.0154676967067644,0.0002428789474116807,0.00025962523221969604,1.2030077204860218e-05,0.028053848075866698,0.0005057315897733787,0.001390635222196579,3.5859285667538646e-05,0.0014264945078641177
0.01,0,0.001,1.0,0.29167582653462887,0.019879356353799366,0.0005828514039516449,0.00013871038890344008,0.028524452972412108,0.0005537337122908706,0.00016748848855495453,0.00027834307104349136,0.0004458315595984459
0.01,0,0.0002,1.0,0.5816900469362736,0.05011732810791031,0.0008709961950778961,0.000153271270708484,0.02877472152709961,0.0005645969316461438,2.0448247343301773e-05,0.00011434580758213997,0.00013479405492544173
0.01,0,0.0005,1.0,0.4069561194628477,0.042135912499809657,0.0006485255569219589,0.00012750349922653045,0.028681281661987305,0.00040457257912939826,6.925328522920608e-05,0.00019820172861218454,0.0002674550138413906
0.01,0,0.0001,1.0,0.6556955426931381,0.061477008977395185,0.0009410306572914123,0.00013433135918154593,0.02871780548095703,0.00041827712702865555,6.719999527558684e-06,6.473924629390239e-05,7.145924582146108e-05
