alpha,alpha_idx,lam,rho,MSE_mean,MSE_std,label_err_mean,label_err_std,label_err_mean_noise,label_err_std_noise,train_data_mean,train_reg_mean,train_total_mean
0.01,0,0.1,1.0,0.0154676967067644,0.0002428789474116,0.0002596252322196,1.2030077204860218e-05,0.0280538480758666,0.0005057315897733,0.0013906352221965,3.5859285667538646e-05,0.0014264945078641
0.01,0,0.001,1.0,0.2916758265346288,0.0198793563537993,0.0005828514039516,0.0001387103889034,0.0285244529724121,0.0005537337122908,0.0001674884885549,0.0002783430710434,0.0004458315595984
0.01,0,0.0002,1.0,0.5816900469362736,0.0501173281079103,0.0008709961950778,0.0001532712707084,0.0287747215270996,0.0005645969316461,2.0448247343301773e-05,0.0001143458075821,0.0001347940549254
0.01,0,0.0005,1.0,0.4069561194628477,0.0421359124998096,0.0006485255569219,0.0001275034992265,0.0286812816619873,0.0004045725791293,6.925328522920608e-05,0.0001982017286121,0.0002674550138413
0.01,0,0.0001,1.0,0.6556955426931381,0.0614770089773951,0.0009410306572914,0.0001343313591815,0.028717805480957,0.0004182771270286,6.719999527558684e-06,6.473924629390239e-05,7.145924582146108e-05
0.1521428571428571,0,0.1,1.0,0.018175526172854,0.0005544476176358,0.0001758841566741,2.4941845311468515e-05,0.0282199563980102,0.0004169453481201,0.0203857951164245,0.0005264298349618,0.0209122249513864
0.1521428571428571,0,0.001,1.0,4.189897269010544,0.0421229102190958,0.0050876817226409,0.0001121090139897,0.0329126018524169,0.000650691777308,0.0038731331348419,0.0041875537157058,0.0080606868505477
0.1521428571428571,0,0.0002,1.0,10.677274763584135,0.2900505334129254,0.0119007100582122,0.0003859243520214,0.039859070777893,0.0008446807587215,0.0006619008958339,0.0021348842144012,0.0027967851102352
0.1521428571428571,0,0.0005,1.0,6.722117424011231,0.1579764812581931,0.007879292678833,0.0003554485954461,0.0357705684661865,0.0004371612054043,0.0019366728186607,0.0033600373506546,0.0052967101693153
0.1521428571428571,0,0.0001,1.0,13.496019721031187,0.2602004304311867,0.0144319535255432,0.0003274212645051,0.0426081283569335,0.0011181542011642,0.000255212663114,0.0013502339601516,0.0016054466232657
0.2942857142857143,0,0.1,1.0,0.0213956936495378,0.0004055008602184,0.0001224652379751,1.93823908938188e-05,0.0280222700119018,0.0003703996645658,0.0395496450424194,0.0010309122264385,0.0405805572688579
0.2942857142857143,0,0.001,1.0,7.351302534341812,0.0956113121400836,0.0082796517848968,0.0002070607821453,0.0360564889907836,0.0007717673994115,0.0105551089286804,0.0073509237766265,0.017906032705307
0.2942857142857143,0,0.0002,1.0,24.14549827575684,0.4119306649068573,0.0222001109123229,0.000506083195256,0.050608768081665,0.0009778083882034,0.0031273574590682,0.0048300374031066,0.0079573948621749
0.2942857142857143,0,0.0005,1.0,12.985482394695282,0.2559523779098335,0.0135239910125732,0.0004904939489031,0.0415324325561523,0.0010331574375571,0.006731473827362,0.0064937592029571,0.0132252330303192
