alpha,MLP_dim,rho,label_err_mean,label_err_std,train_data_mean,train_reg_mean,train_total_mean,train_total_std,acc_test_mean,acc_test_std,acc_fine_tune_mean,acc_fine_tune_std,acc_train_mean,acc_train_std,rank_before_mean,rank_before_std,rank_after_mean,rank_after_std
0.1,5,1.0,9.6e-05,2.4423169902168217e-06,2.7451736666262152e-06,1.3139824829995633e-05,1.5884998328983784e-05,6.407574570533881e-06,0.040000001154839995,0.02442317077453846,1.0,0.0,0.989828584253788,0.018812055512140633,99.8,0.41039134083406165,99.5,0.8885233166386386
0.1,10,1.0,8.291666666666669e-05,2.01420394793071e-06,1.147867904510349e-06,1.1492349542677401e-05,1.2640217393636705e-05,2.7926058956525547e-06,0.17083333805203438,0.02014203827874797,1.0,0.0,0.9988714315593242,0.003915836819358471,99.55,0.7591546545162482,99.7,0.5712405705774793
0.1,30,1.0,8.775e-05,8.241156876717411e-06,7.968677254393697e-07,1.0917841829359532e-05,1.1714709475636482e-05,1.2604331760852345e-06,0.12250000238418579,0.08241157082591541,0.9557333458065986,0.0744433050882405,1.0,0.0,99.65,0.4893604849295929,99.2,0.5231483637805969
0.1,50,1.0,9.691666666666666e-05,3.4316637057662998e-06,5.808530072681606e-07,8.415344581007958e-06,8.996197581291199e-06,3.8137342665871155e-07,0.030833333916962146,0.034316637768993026,0.03541300471839341,0.06515532086949953,1.0,0.0,99.1,0.5525062514530825,98.6,1.1424811411549587
