alpha,MLP_dim,rho,label_err_mean,label_err_std,train_data_mean,train_reg_mean,train_total_mean,train_total_std,acc_test_mean,acc_test_std,acc_fine_tune_mean,acc_fine_tune_std,acc_train_mean,acc_train_std,rank_before_mean,rank_before_std,rank_after_mean,rank_after_std
5.05,5,1.0,5.7889610389610405e-05,8.600387834736732e-06,0.00014636753976345063,2.2219458892941474e-05,0.00016858699917793275,2.589219163002928e-05,0.4211038962006569,0.08600387912499839,0.46164401742504885,0.08828415340723793,0.4625247697842618,0.10236717806452442,91.25,9.170174767318118,97.05,3.068944615438926
5.05,10,1.0,3.874891774891775e-05,9.058387728148553e-06,9.628021210432052e-05,2.9718329757452012e-05,0.00012599854171276093,1.984345501053449e-05,0.6125108227133751,0.09058387312531979,0.6058015476775023,0.07986172765993,0.6545497652838627,0.11362275312121177,90.55,8.331771783518292,94.9,4.228972750718049
5.05,30,1.0,4.0402597402597406e-05,8.573788370960124e-06,8.040241003036499e-05,3.213450491428375e-05,0.00011253691494464875,2.587523336738614e-05,0.5959740296006203,0.08573788479225944,0.6480130000339674,0.08085577622982477,0.6939229969666252,0.16691796532835196,92.2,8.930138208395917,97.35,3.082633870401636
5.05,50,1.0,3.730735930735931e-05,2.7843272799419707e-06,4.871875748038292e-05,3.949040114879608e-05,8.820915788412093e-05,7.884091979483511e-06,0.6269264072179794,0.027843272967554827,0.6023264025077223,0.024836163802961723,0.8321526534308988,0.04625544225252436,85.6,6.984192678357396,97.2,1.472555959083246
